,Unnamed: 0,NAME,Height,Weight,REACH,Stance,DOB,SLPM,STRA,SAPM,STRD,TD,TDA,TDD,SUBA
1722,0,Ruslan Magomedov,"6' 3""",242 lbs.,"78""",Orthodox,"Nov 26, 1986",4.02,0.47,1.47,0.66,0.33,1.0,0.88,0.0
1726,0,Jameel Massouh,"5' 10""",145 lbs.,"72""",Orthodox,"Sep 12, 1984",1.91,0.54,2.62,0.55,0.67,0.15,0.5,0.7
1727,0,Jimi Manuwa,"6' 1""",205 lbs.,"79""",Orthodox,"Feb 18, 1980",3.34,0.53,3.74,0.49,0.58,0.21,0.71,0.4
1728,0,Cole Miller,"6' 1""",145 lbs.,"74""",Orthodox,"Apr 26, 1984",3.0,0.33,3.88,0.59,0.6,0.36,0.38,1.8
1729,0,Che Mills,"6' 1""",170 lbs.,"76""",Orthodox,"Sep 29, 1982",2.08,0.52,2.87,0.43,1.18,0.66,0.58,0.0
1730,0,Vinny Magalhaes,"6' 3""",205 lbs.,"79""",Orthodox,"Jul 02, 1984",2.14,0.24,3.97,0.68,1.55,0.44,0.66,0.8
1731,0,Kelly Velasco,"5' 9""",135 lbs.,--,Orthodox,"May 21, 1995",2.27,0.35,5.67,0.47,0.0,0.0,1.0,0.0
1732,0,Mike Malott,"6' 0""",145 lbs.,--,,--,4.53,0.36,4.53,0.51,2.0,0.33,0.0,0.0
1735,0,Sean McCorkle,"6' 7""",265 lbs.,"81""",Orthodox,"Jul 17, 1976",0.85,0.44,2.48,0.52,2.12,0.4,0.33,4.2
1737,0,Marvin Maldonado,"5' 6""",135 lbs.,--,,--,0.87,0.56,3.47,0.43,0.0,0.0,0.2,0.0
1738,0,Steve Mann,"6' 1""",170 lbs.,--,,--,3.18,0.7,0.66,0.57,1.64,1.0,0.6,0.0
1739,0,Micah Miller,"6' 0""",145 lbs.,--,Orthodox,"Feb 14, 1987",1.33,0.33,2.15,0.54,0.98,0.37,0.21,2.0
1740,0,Ashkan Mokhtarian,"5' 6""",125 lbs.,"67""",Southpaw,"Sep 15, 1985",1.95,0.43,3.66,0.43,0.54,0.16,0.33,0.0
1741,0,Andy Murad,"5' 9""",185 lbs.,--,,--,2.6,0.76,2.87,0.32,1.0,0.2,0.42,0.0
1743,0,Molly McCann,"5' 4""",125 lbs.,"62""",Orthodox,"May 04, 1990",1.41,0.3,2.4,0.66,0.0,0.0,0.5,0.0
1744,0,Chris Mierzwiak,"6' 1""",185 lbs.,--,,"Feb 14, 1988",1.6,0.61,1.73,0.48,2.0,0.28,0.0,1.0
1745,0,Vitor Miranda,"6' 1""",185 lbs.,"77""",Orthodox,"Mar 10, 1979",3.39,0.46,2.89,0.57,0.47,0.4,0.51,0.0
1746,0,Wagner da Conceicao Martins,"6' 7""",390 lbs.,--,Orthodox,"May 19, 1978",1.91,0.37,5.43,0.42,2.2,1.0,1.0,0.0
1747,0,Belal Muhammad,"5' 11""",170 lbs.,"72""",Orthodox,"Jul 09, 1988",4.63,0.43,3.94,0.6,2.48,0.39,0.9,0.2
1748,0,Chris Manuel,"5' 9""",135 lbs.,--,Orthodox,"Jul 21, 1987",2.53,0.4,2.67,0.66,1.0,0.2,1.0,0.0
1750,0,Terry Martin,"5' 8""",185 lbs.,"71""",Orthodox,"Oct 10, 1980",2.68,0.41,3.26,0.53,3.01,0.4,0.92,0.0
1751,0,Rory MacDonald,"6' 0""",170 lbs.,"76""",Orthodox,"Jul 22, 1989",3.75,0.42,2.8,0.62,1.77,0.47,0.88,0.4
1752,0,Bernardo Magalhaes,"5' 9""",155 lbs.,"65""",Orthodox,"Apr 08, 1981",1.8,0.27,3.37,0.68,0.0,0.0,0.0,0.5
1753,0,Rob McCullough,"5' 9""",155 lbs.,"69""",Orthodox,"May 26, 1977",2.47,0.36,2.84,0.59,0.46,1.0,0.68,0.0
1754,0,Erick Montano,"6' 0""",170 lbs.,"73""",Orthodox,"Nov 19, 1985",2.79,0.44,2.06,0.64,2.29,0.36,0.66,0.0
1757,0,Chad Mendes,"5' 6""",145 lbs.,"66""",Orthodox,"May 01, 1985",2.76,0.49,2.14,0.68,4.08,0.54,1.0,0.3
1758,0,Jason Miller,"6' 1""",185 lbs.,"72""",Orthodox,"Dec 24, 1980",1.83,0.43,2.3,0.49,1.31,0.28,0.43,1.3
1759,0,Antonio Mendes,"6' 3""",205 lbs.,"77""",Southpaw,"Apr 19, 1981",1.34,0.47,6.85,0.22,2.51,0.5,1.0,0.0
1760,0,Jose Maria,"5' 5""",125 lbs.,--,Orthodox,"Jan 04, 1982",3.2,0.53,3.98,0.52,2.32,0.27,0.33,2.3
1763,0,Billy Miles,"5' 10""",170 lbs.,--,Orthodox,"Apr 28, 1978",0.0,0.0,1.25,0.33,0.0,0.0,0.0,0.0
1764,0,Nate Mohr,"5' 9""",155 lbs.,"72""",Orthodox,"Mar 03, 1983",3.79,0.41,2.5,0.74,0.45,0.5,0.71,0.0
1765,0,Alonzo Menifield,"6' 0""",205 lbs.,"76""",Orthodox,"Oct 18, 1987",4.34,0.47,1.39,0.52,0.0,0.0,0.6,0.0
1768,0,Claudio Mattos,--,185 lbs.,--,Orthodox,--,0.0,0.0,3.53,0.0,0.0,0.0,0.0,0.0
1769,0,Kin Moy,"5' 5""",135 lbs.,--,,--,2.3,0.33,1.93,0.62,1.67,0.42,0.5,1.7
1770,0,Clay Mitchell,"6' 2""",185 lbs.,--,,--,1.63,0.85,0.0,0.0,0.0,0.0,1.0,4.1
1771,0,Marlon Moraes,"5' 6""",135 lbs.,"67""",Orthodox,"Apr 26, 1988",3.25,0.33,2.81,0.64,0.47,0.25,0.6,0.5
1772,0,William Patolino,"5' 11""",170 lbs.,"75""",Orthodox,"Jul 01, 1991",4.92,0.54,3.96,0.65,1.85,0.45,0.78,0.0
1774,0,Michael Mangan,--,155 lbs.,--,,--,1.94,0.33,4.52,0.46,19.35,0.5,1.0,0.0
1775,0,Bill Mahood,"6' 3""",200 lbs.,--,Orthodox,"Feb 01, 1967",1.54,0.85,3.59,0.17,0.0,0.0,0.0,3.9
1776,0,Jake Matthews,"5' 11""",170 lbs.,"73""",Orthodox,"Aug 19, 1994",3.05,0.48,2.16,0.56,2.51,0.41,0.66,0.9
1777,0,Guy Mezger,"6' 1""",200 lbs.,--,Orthodox,"Jan 01, 1968",2.3,0.32,1.36,0.72,0.39,0.5,0.88,0.0
1778,0,Fazlo Mulabitinovic,--,135 lbs.,--,,--,0.54,0.16,0.0,1.0,0.0,0.0,0.0,8.0
1779,0,Dave Menne,"5' 10""",170 lbs.,--,Orthodox,"Jul 29, 1974",1.84,0.44,1.99,0.42,0.46,0.5,0.57,2.5
1780,0,Brandon Melendez,"5' 11""",155 lbs.,--,Southpaw,"Mar 24, 1983",0.84,0.26,0.56,0.63,0.0,0.0,0.25,0.0
1781,0,Steve Mensing,"5' 11""",185 lbs.,--,Orthodox,"Dec 06, 1977",0.0,0.0,9.51,0.42,0.0,0.0,0.0,0.0
1783,0,Adam Milstead,"6' 3""",240 lbs.,"76""",Orthodox,"Jul 03, 1987",3.9,0.46,4.1,0.48,0.0,0.0,0.64,0.0
1784,0,Danny Mitchell,"6' 2""",170 lbs.,"74""",Orthodox,"Aug 08, 1986",2.53,0.49,2.53,0.52,0.0,0.0,1.0,3.0
1785,0,Derrick Mehmen,"6' 4""",205 lbs.,--,,"May 30, 1985",1.93,0.14,4.53,0.48,1.0,0.16,0.0,0.0
1786,0,Flavio Luiz Moura,"5' 11""",183 lbs.,--,Open Stance,--,0.67,0.16,0.0,0.0,0.0,0.0,0.0,0.0
1787,0,Nate Marquardt,"6' 0""",185 lbs.,"74""",Orthodox,"Apr 20, 1979",2.71,0.49,2.32,0.55,1.87,0.51,0.7,0.8
1788,0,Shoji Maruyama,"5' 7""",139 lbs.,--,Orthodox,"Apr 24, 1983",1.4,0.63,0.27,0.55,0.0,0.0,0.54,0.0
1790,0,Reza Madadi,"5' 11""",155 lbs.,"72""",Orthodox,"Jun 20, 1978",2.51,0.46,3.31,0.66,3.17,0.33,0.89,0.5
1791,0,John Marsh,"6' 0""",265 lbs.,--,Orthodox,"Sep 15, 1970",0.83,0.42,2.23,0.4,0.43,1.0,0.54,0.4
1792,0,Vladimir Matyushenko,"6' 0""",205 lbs.,"74""",Orthodox,"Jan 04, 1971",1.9,0.44,1.62,0.59,3.25,0.46,0.7,0.1
1793,0,Tim McKenzie,"6' 0""",185 lbs.,"74""",Orthodox,"Jul 21, 1982",1.37,0.54,2.96,0.44,0.0,0.0,0.28,2.1
1794,0,Aliev Makhmud,"5' 6""",195 lbs.,--,Southpaw,"Feb 13, 1970",1.12,0.3,2.24,0.36,2.1,0.5,0.0,0.0
1795,0,Jeremiah Metcalf,"6' 1""",185 lbs.,--,Orthodox,--,1.74,0.59,0.27,0.6,4.02,0.66,1.0,2.0
1798,0,Kazuo Misaki,"5' 8""",183 lbs.,--,Orthodox,"Apr 25, 1976",2.85,0.4,2.74,0.63,0.72,0.38,0.51,0.6
1799,0,Christina Marks,"5' 7""",125 lbs.,"69""",Orthodox,"Nov 08, 1985",5.0,0.58,3.0,0.64,7.5,1.0,0.0,0.0
1800,0,Tom Murphy,"6' 2""",227 lbs.,--,Southpaw,"Nov 19, 1974",2.5,0.71,0.17,0.84,7.51,0.85,0.0,2.5
1801,0,Lauren Mueller,"5' 5""",125 lbs.,"67""",Orthodox,"Nov 15, 1991",4.77,0.44,3.4,0.66,1.0,0.5,0.88,0.0
1802,0,Bubba McDaniel,"6' 3""",185 lbs.,"75""",Southpaw,"May 03, 1983",1.64,0.44,1.98,0.56,0.93,0.5,0.5,1.4
1803,0,Alonzo Martinez,"5' 10""",155 lbs.,--,,"Apr 22, 1984",3.07,0.27,7.33,0.52,0.0,0.0,0.0,0.0
1804,0,Miika Mehmet,--,205 lbs.,--,Orthodox,--,0.33,0.12,7.29,0.24,0.0,0.0,0.0,0.0
1805,0,Jon Koppenhaver,"5' 11""",170 lbs.,--,Orthodox,"Nov 30, 1981",2.32,0.6,3.17,0.43,1.16,0.5,0.4,0.0
1806,0,Cody McKenzie,"6' 0""",155 lbs.,"72""",Switch,"Dec 16, 1987",1.74,0.34,2.5,0.67,2.5,0.25,0.14,2.5
1807,0,John Moraga,"5' 6""",125 lbs.,"66""",Orthodox,"Mar 20, 1984",2.62,0.43,2.5,0.57,0.66,0.25,0.44,1.0
1808,0,Pat Miletich,"5' 10""",170 lbs.,--,Orthodox,"Mar 09, 1968",1.79,0.45,1.66,0.63,1.96,1.0,0.54,1.0
1809,0,James Moontasri,"5' 10""",170 lbs.,"71""",Switch,"Apr 10, 1988",2.39,0.48,3.86,0.4,0.0,0.0,0.79,0.2
1810,0,Augusto Montano,"6' 1""",170 lbs.,"73""",Orthodox,"Oct 25, 1984",3.46,0.46,2.66,0.56,0.0,0.0,0.66,0.0
1811,0,Alex Morono,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 16, 1990",4.27,0.41,2.78,0.64,0.0,0.0,0.5,0.5
1812,0,Jamie Moyle,"5' 1""",115 lbs.,"65""",Orthodox,"Mar 17, 1989",4.51,0.51,4.0,0.65,1.0,0.21,0.5,0.0
1814,0,Jeff Monson,"5' 9""",247 lbs.,"74""",Orthodox,"Jan 18, 1971",0.97,0.3,2.87,0.59,1.06,0.12,0.66,0.7
1816,0,Jennifer Maia,"5' 4""",125 lbs.,"64""",Orthodox,"Oct 06, 1988",2.8,0.4,3.53,0.32,0.0,0.0,0.25,0.0
1817,0,Nazareno Malegarie,"5' 8""",155 lbs.,"70""",,"May 16, 1986",3.87,0.34,3.27,0.69,1.0,0.33,0.0,0.0
1818,0,Bristol Marunde,"6' 1""",170 lbs.,"71""",Orthodox,"Apr 20, 1982",1.42,0.21,4.4,0.47,1.6,0.33,0.14,0.0
1819,0,Sergio Moraes,"6' 0""",170 lbs.,"72""",Orthodox,"Jul 23, 1982",2.81,0.45,3.51,0.62,0.99,0.29,0.75,0.4
1820,0,Justin McCully,"6' 1""",225 lbs.,"73""",Orthodox,"Feb 18, 1976",1.58,0.37,2.02,0.46,1.28,0.44,0.43,0.0
1821,0,Ibragim Magomedov,"6' 0""",250 lbs.,--,Orthodox,--,0.26,0.04,3.86,0.42,0.0,0.0,0.0,0.0
1822,0,AJ McKee,"5' 10""",145 lbs.,--,,--,2.75,0.32,0.92,0.8,11.01,1.0,1.0,11.0
1823,0,Angela Magana,"5' 1""",115 lbs.,"65""",,"Aug 02, 1983",1.53,0.28,4.92,0.42,0.4,0.25,0.28,0.4
1824,0,Richardson Moreira,"6' 2""",185 lbs.,"72""",Orthodox,"Mar 31, 1984",1.17,0.28,1.83,0.67,0.0,0.0,1.0,0.0
1825,0,Scott McAfee,"5' 8""",155 lbs.,--,Orthodox,"Aug 23, 1983",0.0,0.0,1.33,0.5,0.0,0.0,0.0,0.0
1827,0,Don'Tale Mayes,"6' 6""",260 lbs.,"82""",Orthodox,"Jan 16, 1992",1.2,0.3,3.17,0.37,0.0,0.0,0.66,0.0
1828,0,Danny Martinez,"5' 6""",125 lbs.,"67""",Orthodox,"Jun 14, 1985",2.73,0.28,3.77,0.63,3.0,0.45,0.36,0.0
1829,0,Zach Makovsky,"5' 4""",125 lbs.,"64""",Southpaw,"Apr 19, 1983",1.94,0.43,2.24,0.62,3.71,0.3,0.56,0.3
1831,0,Dokonjonosuke Mishima,"5' 7""",155 lbs.,--,Southpaw,"Apr 19, 1972",1.06,0.41,1.22,0.52,2.47,0.4,0.25,1.4
1832,0,Leonardo Morales,"5' 8""",135 lbs.,"68""",Southpaw,"Dec 22, 1992",2.05,0.47,2.05,0.58,0.0,0.0,0.62,0.0
1833,0,Maryna Moroz,"5' 7""",115 lbs.,"67""",Orthodox,"Sep 08, 1991",3.15,0.24,3.79,0.55,0.2,0.2,0.47,0.6
1835,0,Gan McGee,"6' 10""",265 lbs.,--,Orthodox,"Nov 20, 1976",2.2,0.29,2.31,0.59,0.65,0.25,0.83,0.0
1836,0,Henry Martinez,"5' 7""",155 lbs.,"68""",Southpaw,"Aug 07, 1983",2.79,0.25,4.01,0.6,0.0,0.0,0.8,0.0
1837,0,Jorge Masvidal,"5' 11""",170 lbs.,"74""",Orthodox,"Nov 12, 1984",4.15,0.46,2.96,0.67,1.73,0.58,0.78,0.4
1839,0,Veronica Macedo,"5' 4""",125 lbs.,"64""",Southpaw,"Oct 30, 1995",1.69,0.41,4.65,0.37,0.54,1.0,0.5,0.5
1840,0,Antonio McKee,"5' 8""",155 lbs.,--,Southpaw,"Mar 12, 1970",1.37,0.45,0.74,0.74,1.47,0.33,0.57,0.0
1841,0,Jack Morrison,"5' 11""",205 lbs.,--,,--,0.0,0.0,19.31,0.4,0.0,0.0,0.0,0.0
1842,0,Carmelo Marrero,"6' 0""",205 lbs.,"73""",Orthodox,"Jan 26, 1981",0.84,0.34,2.04,0.54,3.21,0.36,0.36,0.9
1843,0,Yoshiro Maeda,"5' 7""",139 lbs.,"68""",Southpaw,"Oct 31, 1981",2.36,0.33,2.55,0.63,2.93,0.51,0.5,0.7
1844,0,Eliot Marshall,"6' 2""",205 lbs.,"77""",Orthodox,"Jul 07, 1980",1.93,0.27,2.39,0.67,0.47,0.33,0.79,0.9
1845,0,Zabit Magomedsharipov,"6' 1""",145 lbs.,"73""",Orthodox,"Mar 01, 1991",4.53,0.5,2.19,0.67,6.56,0.58,0.77,1.2
1846,0,Lolohea Mahe,--,--,--,,--,1.71,0.29,6.92,0.4,2.44,0.4,0.0,0.0
1847,0,Phillip Miller,"5' 11""",185 lbs.,--,Orthodox,"Feb 20, 1979",1.61,0.54,1.93,0.5,3.62,0.25,1.0,0.6
1848,0,Alberto Mina,"6' 0""",170 lbs.,"77""",Orthodox,"May 02, 1982",3.23,0.38,3.7,0.47,1.85,0.2,0.5,0.0
1849,0,Ivan Menjivar,"5' 6""",145 lbs.,"64""",Orthodox,"May 30, 1982",2.78,0.37,2.76,0.65,0.56,0.28,0.38,1.0
1850,0,Liam McGeary,"6' 6""",205 lbs.,--,,"Oct 04, 1982",1.28,0.48,1.92,0.5,0.51,1.0,0.0,2.5
1851,0,Andre Mussi,"6' 3""",242 lbs.,--,Orthodox,--,0.0,0.0,10.59,0.35,0.0,0.0,0.0,0.0
1852,0,Tatsuya Mizuno,"6' 1""",205 lbs.,--,Southpaw,"Jun 02, 1981",2.25,0.37,3.52,0.53,1.19,0.25,0.4,3.6
1853,0,Todd Moore,"5' 9""",170 lbs.,"71""",Southpaw,"Dec 30, 1983",1.83,0.26,2.3,0.57,0.78,0.14,0.54,0.0
1854,0,Charles McCarthy,"5' 10""",185 lbs.,"71""",Orthodox,"Aug 06, 1980",0.18,0.12,4.03,0.56,2.67,0.6,0.0,2.7
1855,0,Mike Massenzio,"6' 2""",185 lbs.,"73""",Southpaw,"Nov 01, 1982",2.08,0.45,3.59,0.54,2.74,0.24,0.5,1.4
1856,0,Rob MacDonald,"6' 3""",205 lbs.,"78""",Orthodox,"Sep 05, 1978",1.8,0.5,2.04,0.46,7.19,0.8,0.8,5.4
1858,0,Brad Mitchell,"5' 11""",145 lbs.,--,,"Oct 10, 1974",1.15,0.33,4.2,0.52,0.0,0.0,1.0,1.9
1859,0,Brad Morris,"6' 2""",205 lbs.,--,Orthodox,"Nov 01, 1979",0.5,0.62,6.95,0.27,0.0,0.0,0.0,0.0
1860,0,Nicco Montano,"5' 5""",125 lbs.,"65""",Southpaw,"Dec 16, 1988",7.44,0.4,5.28,0.67,1.8,0.5,0.77,0.6
1861,0,Anistavio Medeiros,"5' 6""",145 lbs.,--,Orthodox,"May 01, 1988",3.64,0.44,5.0,0.47,0.0,0.0,0.0,0.0
1863,0,Justin McElfresh,"6' 6""",205 lbs.,--,Orthodox,"Jan 04, 1980",4.59,0.26,12.79,0.41,0.0,0.0,0.0,0.0
1864,0,Bryce Mejia,"6' 1""",170 lbs.,--,,--,3.49,0.62,6.98,0.5,0.0,0.0,0.0,0.0
1865,0,David Mitchell,"6' 0""",170 lbs.,"76""",Orthodox,"Oct 24, 1979",1.74,0.32,2.06,0.55,0.66,0.5,0.29,2.0
1866,0,Brandon Moreno,"5' 7""",125 lbs.,"70""",Orthodox,"Dec 07, 1993",2.65,0.33,3.02,0.64,2.71,0.41,0.61,0.9
1867,0,AJ Matthews,"5' 11""",185 lbs.,--,,--,5.11,0.52,4.96,0.51,0.0,0.0,1.0,0.0
1868,0,Pedro Munhoz,"5' 6""",135 lbs.,"64""",Orthodox,"Sep 07, 1986",4.19,0.39,5.44,0.58,1.37,0.25,0.6,1.4
1869,0,Ryuichi Murata,"5' 8""",183 lbs.,--,Orthodox,--,0.84,0.36,1.89,0.5,4.74,0.5,1.0,3.2
1873,0,Drew McFedries,"6' 0""",185 lbs.,"72""",Southpaw,"Jul 27, 1978",5.13,0.51,4.56,0.52,1.42,1.0,0.56,0.7
1874,0,Islam Makhachev,"5' 10""",155 lbs.,"70""",Orthodox,"Oct 27, 1991",2.33,0.63,0.74,0.65,4.46,0.85,1.0,1.1
1875,0,Gegard Mousasi,"6' 2""",185 lbs.,"76""",Orthodox,"Aug 01, 1985",3.75,0.5,1.21,0.68,1.59,0.6,0.59,1.1
1876,0,Daijiro Matsui,"5' 9""",200 lbs.,--,Orthodox,"Dec 05, 1972",0.84,0.45,1.69,0.55,1.83,0.3,0.43,0.4
1877,0,Lucas Martins,"6' 0""",145 lbs.,"72""",Southpaw,"Nov 11, 1988",2.87,0.35,4.14,0.6,0.0,0.0,0.76,0.5
1878,0,Ryan McGillivray,"5' 11""",170 lbs.,--,,"Sep 27, 1986",1.27,0.2,2.2,0.52,0.0,0.0,0.44,0.0
1880,0,Conor McGregor,"5' 9""",170 lbs.,"74""",Southpaw,"Jul 14, 1988",5.82,0.47,4.55,0.57,0.92,0.62,0.73,0.0
1881,0,Jesse Moreng,"5' 7""",145 lbs.,--,Orthodox,"Nov 09, 1979",1.26,0.4,2.08,0.48,5.56,1.0,1.0,0.0
1882,0,Michael McBride,"6' 1""",155 lbs.,"75""",Orthodox,"Mar 09, 1986",4.08,0.48,5.85,0.4,1.85,0.42,0.3,1.2
1883,0,Tiffany Masters,"5' 3""",115 lbs.,"65""",Orthodox,"Jul 31, 1994",3.53,0.62,2.58,0.5,3.06,0.6,0.0,0.0
1884,0,Kaline Medeiros,"5' 3""",115 lbs.,--,,--,2.06,0.7,0.29,0.83,4.41,1.0,0.0,4.4
1885,0,Joseph Morales,"5' 6""",125 lbs.,"69""",Switch,"Aug 22, 1994",1.56,0.38,2.44,0.51,0.0,0.0,0.0,1.1
1886,0,Nico Musoke,"6' 0""",170 lbs.,"75""",Orthodox,"Apr 05, 1986",3.56,0.35,3.8,0.57,1.16,0.19,0.82,0.2
1887,0,Anthony Morrison,"5' 7""",145 lbs.,--,Orthodox,"Mar 29, 1984",1.7,0.33,0.49,0.8,0.0,0.0,0.5,0.0
1888,0,Naoki Matsushita,"5' 6""",155 lbs.,--,Orthodox,--,3.3,0.32,2.2,0.63,1.5,1.0,0.0,0.0
1889,0,Fabio Maldonado,"6' 1""",205 lbs.,"75""",Orthodox,"Mar 17, 1980",5.29,0.58,4.31,0.53,0.44,0.57,0.61,0.6
1890,0,Troy Mandaloniz,"5' 9""",170 lbs.,--,Orthodox,"Feb 01, 1980",3.52,0.56,4.71,0.63,3.1,0.66,0.57,0.0
1892,0,Dan Miller,"6' 1""",185 lbs.,"74""",Orthodox,"Jun 30, 1981",2.03,0.36,3.06,0.49,1.67,0.54,0.47,1.8
1893,0,Ryan McGivern,"6' 0""",185 lbs.,--,Orthodox,"Jan 17, 1980",2.22,0.29,2.22,0.57,0.0,0.0,0.0,0.0
1895,0,Clayton MacFarlane,--,170 lbs.,--,,--,1.33,0.52,1.82,0.55,1.05,0.33,0.37,0.0
1897,0,Zachary Micklewright,"6' 0""",155 lbs.,"74""",Southpaw,"Aug 21, 1976",5.56,0.53,4.72,0.54,0.7,0.12,1.0,0.0
1898,0,Ricardo Morais,"6' 8""",270 lbs.,--,Orthodox,"Feb 26, 1967",2.86,0.37,2.39,0.53,0.0,0.0,0.0,0.0
1900,0,Motoki Miyazawa,"5' 11""",168 lbs.,--,Southpaw,--,1.23,0.28,3.91,0.61,0.0,0.0,0.0,0.0
1901,0,Christian Morecraft,"6' 6""",260 lbs.,"81""",Orthodox,"Sep 08, 1986",2.82,0.34,2.46,0.46,3.26,0.66,0.5,2.2
1902,0,James McSweeney,"6' 4""",230 lbs.,"77""",Switch,"Oct 24, 1980",3.94,0.55,4.33,0.42,0.52,0.33,1.0,1.1
1903,0,Jordan Mein,"6' 0""",170 lbs.,"73""",Orthodox,"Oct 10, 1989",3.66,0.44,2.71,0.69,1.38,0.55,0.66,0.2
1904,0,Augusto Mendes,"5' 6""",135 lbs.,"65""",Orthodox,"Mar 03, 1983",2.42,0.34,3.91,0.56,1.75,0.33,0.8,0.0
1905,0,Garreth McLellan,"6' 1""",185 lbs.,"72""",Southpaw,"Sep 01, 1982",3.56,0.54,2.94,0.45,1.15,0.22,0.34,0.9
1906,0,Lauren Murphy,"5' 7""",125 lbs.,"67""",Orthodox,"Jul 27, 1983",3.73,0.4,3.81,0.6,1.0,0.3,0.62,0.0
1908,0,Ronny Markes,"6' 1""",185 lbs.,"75""",Orthodox,"Apr 21, 1988",2.17,0.53,2.43,0.45,3.13,0.4,1.0,0.5
1909,0,Ian McCall,"5' 5""",125 lbs.,"64""",Orthodox,"May 07, 1984",3.59,0.39,3.25,0.67,2.08,0.3,0.88,0.0
1910,0,Adam Meredith,"6' 2""",170 lbs.,--,,--,2.63,0.5,2.11,0.55,7.89,1.0,1.0,7.9
1911,0,Jack May,"6' 8""",255 lbs.,"79""",Switch,"Apr 14, 1981",1.52,0.38,3.29,0.33,0.91,0.33,0.2,0.0
1912,0,Bobby McAndrews,--,--,--,Orthodox,--,2.56,0.83,1.03,0.5,0.0,0.0,0.33,7.7
1913,0,Damir Mirenic,"6' 0""",185 lbs.,--,Orthodox,"Aug 02, 1974",0.84,0.5,9.86,0.35,0.0,0.0,0.0,0.0
1914,0,Tamdan McCrory,"6' 4""",185 lbs.,"78""",Switch,"Nov 05, 1986",2.07,0.49,1.6,0.46,2.28,0.5,0.33,2.5
1915,0,Yancy Medeiros,"5' 10""",170 lbs.,"75""",Orthodox,"Sep 07, 1987",4.39,0.36,5.22,0.48,0.15,0.33,0.83,0.6
1916,0,Miles McDonald,"5' 7""",115 lbs.,--,,"Aug 13, 1991",5.1,0.45,4.0,0.43,0.0,0.0,1.0,1.0
1917,0,Kristof Midoux,"6' 1""",220 lbs.,--,Orthodox,"Jul 30, 1974",0.7,0.43,2.89,0.49,0.0,0.0,0.0,0.0
1918,0,Bojan Mihajlovic,"5' 11""",205 lbs.,"73""",Orthodox,"Mar 30, 1980",1.23,0.35,5.95,0.47,0.0,0.0,0.33,0.0
1919,0,John Makdessi,"5' 8""",155 lbs.,"68""",Orthodox,"May 03, 1985",5.17,0.5,3.75,0.71,0.0,0.0,0.87,0.0
1920,0,Lyoto Machida,"6' 1""",185 lbs.,"74""",Southpaw,"May 30, 1978",2.59,0.53,1.57,0.61,1.21,0.65,0.75,0.4
1921,0,Eiji Mitsuoka,"5' 7""",145 lbs.,--,Southpaw,"Jan 01, 1976",1.49,0.49,2.26,0.45,2.3,0.36,0.2,1.6
1922,0,Julian Marquez,"6' 2""",185 lbs.,"75""",Orthodox,"May 08, 1990",3.8,0.4,3.33,0.53,0.0,0.0,0.52,3.0
1924,0,Gina Mazany,"5' 6""",135 lbs.,"68""",Southpaw,"Aug 19, 1988",2.43,0.48,2.21,0.5,3.36,0.77,0.2,0.0
1925,0,Michael McDonald 205,"5' 11""",205 lbs.,--,Orthodox,"Feb 06, 1965",0.0,0.0,0.4,0.5,0.0,0.0,0.0,0.0
1927,0,Kazuyuki Miyata,"5' 8""",139 lbs.,--,Orthodox,--,2.04,0.52,1.82,0.63,4.31,0.46,0.68,0.0
1928,0,Doug Marshall,"5' 10""",205 lbs.,--,Orthodox,"Sep 09, 1975",7.97,0.51,6.29,0.61,0.0,0.0,0.0,6.3
1929,0,Tim Means,"6' 2""",170 lbs.,"75""",Orthodox,"Feb 20, 1984",4.71,0.44,3.22,0.63,0.66,0.44,0.63,0.2
1930,0,Jon Madsen,"6' 0""",240 lbs.,"72""",Orthodox,"Feb 12, 1980",2.46,0.41,1.18,0.81,1.32,0.71,0.7,0.0
1932,0,David Michaud,"5' 9""",155 lbs.,"72""",Orthodox,"Nov 10, 1988",3.25,0.43,4.45,0.54,2.53,0.58,0.77,0.7
1933,0,Kris McCray,"6' 0""",170 lbs.,"76""",Orthodox,"Sep 24, 1981",2.69,0.45,2.57,0.54,2.88,0.55,0.38,0.0
1934,0,Lee Murray,"6' 3""",185 lbs.,--,Orthodox,"Sep 12, 1977",0.36,0.15,3.28,0.32,0.9,1.0,0.42,1.8
1935,0,Eddie Mendez,"5' 10""",185 lbs.,"76""",,"Jan 16, 1984",1.71,0.33,3.43,0.11,0.0,0.0,0.0,0.0
1936,0,Chris Mickle,"5' 9""",145 lbs.,--,Orthodox,"Jul 10, 1983",3.03,0.27,9.7,0.48,0.0,0.0,0.0,0.0
1938,0,Klayton Mai,"5' 9""",125 lbs.,--,,"Nov 30, 1986",1.53,0.42,1.02,0.63,3.83,1.0,0.0,7.7
1939,0,Ilima Macfarlane,"5' 4""",125 lbs.,--,,--,4.13,0.43,2.93,0.65,0.0,0.0,0.5,1.0
1940,0,Caio Magalhaes,"6' 1""",185 lbs.,"73""",Orthodox,"Dec 14, 1987",2.27,0.4,2.78,0.56,1.05,0.15,0.58,1.6
1941,0,Danny Navarro,"5' 10""",155 lbs.,--,,"May 27, 1983",3.83,0.32,4.62,0.57,2.17,0.25,1.0,0.0
